"gene_symbol","Interneurons_pr","Oligodendrocytes_pr","Medium.spiny.neurons_pr","Endothelial.cells_pr","Astrocytes_pr","Excitatory.neurons_pr","Microglia_pr","OPCs_pr"
"Ist1",2647.497,2284.4,1691.49,1523.359,1485.96,2108.99,3978.678,1877.592
"Isy1",164.91,118.3781,143.9674,73.33379,92.81988,146.9231,462.0614,126.4718
"Isyna1",1868.261,231.1307,5306.387,17680.4,304.4779,2592.906,10385.84,641.5055
"Itch",1117.755,3406.529,679.974,1284.39,782.1319,951.3141,4816.793,1382.587
"Itfg1",2828.859,2134.532,1870.259,1803.81,1150.048,1955.584,4607.229,2364.501
"Itfg2",872.9672,695.5531,466.515,451.8903,269.9858,565.7024,801.8754,564.7289
"Itga1",11.1985,255.4659,12.11663,56757.49,1079.835,113.9802,3238.681,1591.968
"Itga3",139.8731,17.18344,19.07527,193.149,14.34428,86.6749,15.65407,67.87249
"Itga6",1335.128,148.347,261.8426,5334.597,8468.758,850.2322,33094.27,233.3476
"Itga7",553.87,64.93456,27.0279,491.3889,1957.562,1108.772,126.9333,0.000409878
"Itgav",1454.846,9569.152,5326.302,7351.438,8274.726,5076.49,36869.74,21952.62
"Itgb1",4096.004,4270.02,1963.349,18082.89,2540.775,4263.214,18939.92,7779.779
"Itgb1bp1",215.0562,243.8752,495.3631,168.8137,164.9532,161.9197,585.9249,360.9531
"Itgb2",109.9463,74.25147,83.2338,0.001304252,55.32402,96.63572,72342.46,187.9835
"Itgb5",20.76121,203.8509,8.962351,648.1763,477.5174,14.37225,15326.37,43.49846
"Itgb8",1248.054,12250.76,4099.808,5977.16,12300.88,3330.85,5387.651,27187.48
"Itih3",295.5234,4067.279,311.6443,1717.217,65319.06,207.4265,2793.394,1040.761
"Itih5",369.7494,499.4229,30.48257,32399.22,1287.301,53.72337,524.1876,669.5316
"Itm2b",2872.456,4464.122,1233.161,6383.308,2710.432,2008.031,19480.52,4152.988
"Itm2c",1580.445,1389.582,2430.017,2805.341,1442.929,1890.244,4949.997,3069.343
"Itpa",3916.621,3854.875,6131.938,4896.305,728.3818,4835.819,6372.252,3552.72
"Itpk1",171.2825,1617.199,104.0953,256.4227,234.5442,279.1612,701.208,336.8581
"Itpka",443.3613,1068.346,6518.88,877.2364,441.8314,5964.395,3714.89,1156.969
"Itpkb",126.3714,61.33954,98.21873,2455.162,1136.039,200.5924,8062.127,1724.94
"Itpr1",10225.09,4236.945,28017.75,18750.5,3022.189,17305.64,13701.92,5021.183
"Itpr2",133.2605,190.9177,19.87746,1631.894,1119.524,31.45016,5909.388,4467.205
"Itsn1",34554.59,7358.814,15874.13,11031.99,19830.99,20540.32,20168.44,10306.82
